date;ipc
2015-01;3,82
2015-02;4,36
2015-03;4,56
2015-04;4,64
2015-05;4,41
2015-06;4,42
2015-07;4,46
2015-08;4,74
2015-09;5,35
2015-10;5,89
2015-11;6,39
2015-12;6,77
2016-01;7,45
2016-02;7,59
2016-03;7,98
2016-04;7,93
2016-05;8,20
2016-06;8,60
2016-07;8,97
2016-08;8,10
2016-09;7,27
2016-10;6,48
2016-11;5,96
2016-12;5,75
2017-01;5,47
2017-02;5,18
2017-03;4,69
2017-04;4,66
2017-05;4,37
2017-06;3,99
2017-07;3,40
2017-08;3,87
2017-09;3,97
2017-10;4,05
2017-11;4,12
2017-12;4,09
2018-01;3,68
2018-02;3,37
2018-03;3,14
2018-04;3,13
2018-05;3,16
2018-06;3,20
2018-07;3,12
2018-08;3,10
2018-09;3,23
2018-10;3,33
2018-11;3,27
2018-12;3,18
2019-01;3,15
2019-02;3,01
2019-03;3,21
2019-04;3,25
2019-05;3,31
2019-06;3,43
2019-07;3,79
2019-08;3,75
2019-09;3,82
2019-10;3,86
2019-11;3,84
2019-12;3,80
2020-01;3,62
2020-02;3,72
2020-03;3,86
2020-04;3,51
2020-05;2,85
2020-06;2,19
2020-07;1,97
2020-08;1,88
2020-09;1,97
2020-10;1,75
2020-11;1,49
2020-12;1,61
2021-01;1,60
2021-02;1,56
2021-03;1,51
2021-04;1,95
2021-05;3,30
2021-06;3,63
2021-07;3,97
2021-08;4,44
2021-09;4,51
2021-10;4,58
2021-11;5,26
2021-12;5,62
2022-01;6,94
2022-02;8,01
2022-03;8,53
2022-04;9,23
2022-05;9,07
2022-06;9,67
2022-07;10,21
2022-08;10,84
2022-09;11,44
2022-10;12,22
